"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","564","get unique task","","2025-12-28","passed","2025-12-28","","GET /tasks/:id","",""
"","299","duplicate email","","2025-12-28","passed","2025-12-28","","POST / users","",""
"","47","name is required","POST / users","2025-12-28","passed","2025-12-28","","required fields","",""
"","93","email not found","","2025-12-28","passed","2025-12-28","","POST / sessions","",""
"","404","user sessions","","2025-12-28","passed","2025-12-28","","POST / sessions","",""
"","487","post task","POST /tasks","2025-12-28","passed","2025-12-28","","register a new task","",""
"","885","get my tasks","","2025-12-28","passed","2025-12-28","","GET /tasks","",""
"","48","password is required","POST / users","2025-12-28","passed","2025-12-28","","required fields","",""
"","49","email is required","POST / users","2025-12-28","passed","2025-12-28","","required fields","",""
"","1046","remove a task","","2025-12-28","passed","2025-12-28","","DELETE /tasks","",""
"","736","update task to done","","2025-12-28","passed","2025-12-28","","PUT /tasks/:id/done","",""
"","640","task not found","","2025-12-28","passed","2025-12-28","","PUT /tasks/:id/done","",""
"","595","duplicate task","","2025-12-28","passed","2025-12-28","","POST /tasks","",""
"","108","invalid password","","2025-12-28","passed","2025-12-28","","POST / sessions","",""
"","247","Register a new users","","2025-12-28","passed","2025-12-28","","POST / users","",""
